16 objects imported automatically (use -v 2 for details).

[2026-03-09 15:42:06] URL:  Chula forward: in:sfp-sfpp10G out:sfp-sfpplus2-Meraki, src-mac 80:27:6c:4b:d9:7f, proto UDP, 10.222.1.200:63717->61.19.12.18:443, len 1348 | METHOD: None
[2026-03-09 15:42:06] URL:  Drop-Game prerouting: in:sfp-sfpp10G out:(unknown 0), src-mac 80:27:6c:4b:d9:7f, proto TCP (SYN), 10.6.0.193:56059->172.66.146.164:443, len 52 | METHOD: None
[2026-03-09 15:42:06] URL:  forward: in:vlan60-Hotspot-Art out:ether1-Wan1-AIS, src-mac 10:82:3d:59:85:18, proto TCP (SYN), 192.168.60.196:56615->47.245.114.175:80, len 60 | METHOD: None
[2026-03-09 15:42:06] URL:  forward: in:vlan60-Hotspot-Art out:ether1-Wan1-AIS, src-mac 10:82:3d:59:85:18, proto TCP (SYN), 192.168.60.196:56615->47.245.114.175:80, len 60 | METHOD: None
[2026-03-09 15:42:06] URL:  forward: in:vlan10-Teacher out:pppoe-out1-TOT1, src-mac e0:d4:64:91:46:00, proto TCP (SYN), 192.168.110.84:60148->79.133.171.22:443, len 52 | METHOD: None
[2026-03-09 15:42:06] URL:  forward: in:vlan10-Teacher out:pppoe-out1-TOT1, src-mac e0:d4:64:91:46:00, proto TCP (SYN), 192.168.110.84:60148->79.133.171.22:443, len 52 | METHOD: None
[2026-03-09 15:42:06] URL:  TRAFFIC forward: in:ether5-Office out:pppoe-out-3BB, src-mac d4:5d:64:7f:f8:01, proto UDP, 192.168.1.126:57825->162.159.61.3:443, len 1278 | METHOD: None
[2026-03-09 15:42:06] URL:  TRAFFIC forward: in:ether5-Office out:pppoe-out-3BB, src-mac d4:5d:64:7f:f8:01, proto UDP, 192.168.1.126:57825->162.159.61.3:443, len 1278 | METHOD: None
[2026-03-09 15:42:06] URL:  TRAFFIC forward: in:ether5-Office out:pppoe-out-3BB, src-mac d4:5d:64:7f:f8:01, proto UDP, 192.168.1.126:57825->162.159.61.3:443, NAT (192.168.1.126: | METHOD: None
[2026-03-09 15:42:06] URL:  TRAFFIC forward: in:ether5-Office out:pppoe-out-3BB, src-mac d4:5d:64:7f:f8:01, proto UDP, 192.168.1.126:57825->162.159.61.3:443, NAT (192.168.1.126: | METHOD: None
[2026-03-09 15:42:06] URL:  TRAFFIC forward: in:ether5-Office out:pppoe-out-3BB, src-mac d4:5d:64:7f:f8:01, proto UDP, 192.168.1.126:57825->162.159.61.3:443, NAT (192.168.1.126: | METHOD: None
[2026-03-09 15:42:06] URL:  TRAFFIC forward: in:ether5-Office out:pppoe-out-3BB, src-mac d4:5d:64:7f:f8:01, proto UDP, 192.168.1.126:57825->162.159.61.3:443, NAT (192.168.1.126: | METHOD: None
[2026-03-09 15:42:06] URL:  TRAFFIC forward: in:ether5-Office out:pppoe-out-3BB, src-mac d4:5d:64:7f:f8:01, proto UDP, 192.168.1.126:57825->162.159.61.3:443, NAT (192.168.1.126: | METHOD: None
